customer_id,meter_id,name,mobile_number,address,city,pincode,connection_type,tariff_plan,connection_date,id,reading_date,units,voltage,temperature,power_factor,load_kw,frequency_hz,phase,status
1,MTR0000001,Customer 1,6816368854,Address 1,Vadodara,408545,Industrial,HT-1,2023-06-17,49,2024-11-28 02:55:10.410294,2.397,234.57,36.85,0.884,2.923,50.455,Single,CHECK
1,MTR0000001,Customer 1,6816368854,Address 1,Vadodara,408545,Industrial,HT-1,2023-06-17,141,2024-11-22 01:40:09.700086,4.37,234.31,28.76,0.983,7.018,50.448,Single,OK
1,MTR0000001,Customer 1,6816368854,Address 1,Vadodara,408545,Industrial,HT-1,2023-06-17,1995,2025-10-20 14:50:12.642471,35.614,210.38,25.84,0.88,3.635,49.762,Three,OK
2,MTR0000002,Customer 2,6349273809,Address 2,Surat,389424,Industrial,LT-3,2023-12-12,1377,2024-11-30 23:23:29.827503,40.015,231.72,36.09,0.895,0.922,49.935,Three,OK
2,MTR0000002,Customer 2,6349273809,Address 2,Surat,389424,Industrial,LT-3,2023-12-12,1437,2025-11-03 05:05:44.753455,23.142,218.6,28.66,0.839,2.136,50.37,Single,OK
2,MTR0000002,Customer 2,6349273809,Address 2,Surat,389424,Industrial,LT-3,2023-12-12,1684,2025-07-19 00:46:47.346444,11.807,229.81,38.5,0.807,6.834,50.126,Single,OK
2,MTR0000002,Customer 2,6349273809,Address 2,Surat,389424,Industrial,LT-3,2023-12-12,1714,2025-10-21 14:17:17.036969,38.478,248.39,35.69,0.943,2.461,49.928,Three,OK
2,MTR0000002,Customer 2,6349273809,Address 2,Surat,389424,Industrial,LT-3,2023-12-12,1764,2025-07-01 16:29:55.612924,16.832,210.78,29.62,0.791,3.379,50.078,Three,OK
2,MTR0000002,Customer 2,6349273809,Address 2,Surat,389424,Industrial,LT-3,2023-12-12,2351,2025-07-10 17:48:21.730257,2.641,220.66,38.54,0.848,7.437,49.729,Single,OK
2,MTR0000002,Customer 2,6349273809,Address 2,Surat,389424,Industrial,LT-3,2023-12-12,2381,2025-04-24 23:47:33.782353,30.824,242.34,20.37,0.804,8.423,50.019,Single,OK
3,MTR0000003,Customer 3,6630476744,Address 3,Rajkot,413040,Domestic,LT-3,2025-06-06,262,2025-02-03 01:00:31.306205,35.663,218.86,30.63,0.825,5.113,49.752,Three,OK
3,MTR0000003,Customer 3,6630476744,Address 3,Rajkot,413040,Domestic,LT-3,2025-06-06,679,2025-06-28 00:19:23.230322,48.682,226.76,30.96,0.784,6.26,50.398,Single,OK
3,MTR0000003,Customer 3,6630476744,Address 3,Rajkot,413040,Domestic,LT-3,2025-06-06,1671,2025-07-04 11:26:49.427626,20.916,227.86,39.02,0.763,9.316,50.439,Single,OK
3,MTR0000003,Customer 3,6630476744,Address 3,Rajkot,413040,Domestic,LT-3,2025-06-06,1674,2025-04-29 11:01:26.215637,35.938,231.79,39.08,0.887,6.381,50.288,Single,OK
4,MTR0000004,Customer 4,6901071733,Address 4,Surat,412994,Domestic,LT-1,2024-11-17,34,2024-11-18 16:11:18.407333,38.412,228.12,30.33,0.813,5.289,49.615,Three,CHECK
4,MTR0000004,Customer 4,6901071733,Address 4,Surat,412994,Domestic,LT-1,2024-11-17,1372,2025-09-13 06:34:42.081733,7.882,245.6,23.24,0.931,7.267,50.059,Single,CHECK
4,MTR0000004,Customer 4,6901071733,Address 4,Surat,412994,Domestic,LT-1,2024-11-17,1405,2024-12-04 23:59:46.829815,12.321,240.88,29.61,0.985,5.253,49.51,Single,OK
4,MTR0000004,Customer 4,6901071733,Address 4,Surat,412994,Domestic,LT-1,2024-11-17,1685,2025-10-05 22:05:05.617995,9.904,217.73,24.73,0.926,7.067,50.023,Three,OK
4,MTR0000004,Customer 4,6901071733,Address 4,Surat,412994,Domestic,LT-1,2024-11-17,1920,2025-04-21 12:42:59.563885,6.989,214.03,36.78,0.867,1.114,49.641,Single,OK
4,MTR0000004,Customer 4,6901071733,Address 4,Surat,412994,Domestic,LT-1,2024-11-17,1996,2025-06-11 15:47:18.152221,23.776,219.72,26.53,0.88,3.873,49.785,Three,CHECK
